update_index,mean_policy_entropy
1,2.4794107410642834
2,2.479353780012864
3,2.4789986506752344
4,2.478981010375484
5,2.478734192481408
6,2.478582125443679
7,2.4784477630131683
8,2.478376479525315
9,2.4784649121956748
10,2.478650600679459
11,2.47852822252222
12,2.47865686416626
13,2.478758466243744
14,2.478620992190596
15,2.4787899574763337
16,2.4787732502993416
17,2.4789766731546887
18,2.4790885690915383
19,2.4791488197614564
20,2.478888444046476
21,2.4789324369695453
22,2.479068393438635
23,2.4789086890547245
24,2.4789954353781307
25,2.4788904752996235
26,2.4790468531496384
27,2.4788694185753393
28,2.479022541466881
29,2.479066254487678
30,2.478989511296369
31,2.479047312456019
32,2.4789731837809086
33,2.4790092831227315
34,2.478904792756745
35,2.4786970481066635
36,2.478429044547834
37,2.478662108552867
38,2.4783553426915947
39,2.478244125843048
40,2.478084799405691
41,2.478146593335649
42,2.478103932212381
43,2.478061217250246
44,2.47785839136096
45,2.4780524559875032
46,2.4778774691299654
47,2.4777622685503604
48,2.4776899565511674
49,2.477342741398872
50,2.4771935547867865
51,2.477247855880044
52,2.476903776327769
53,2.4767635162965753
54,2.476926131034965
55,2.476741251578698
56,2.4763093214286003
57,2.4759692558343858
58,2.4762678915454495
59,2.475604255994161
60,2.475156475120867
61,2.475404750383817
62,2.474873205593654
63,2.4746485551198325
64,2.474162667989731
65,2.4736300739977093
66,2.4733935510608513
67,2.47258093723884
68,2.4725965378989634
69,2.4724595190873786
70,2.471377710501353
71,2.470795481999715
72,2.470374320682726
73,2.470299395037369
74,2.469588248168721
75,2.4686779085795085
76,2.468154838210658
77,2.467175629933675
78,2.466151425242424
79,2.465466685109324
80,2.4655140793841817
81,2.4644834299882254
82,2.4633056149966475
83,2.462671524948544
84,2.4609662490104562
85,2.4598330212877944
86,2.459680414199829
87,2.4597650970731464
88,2.4571923806633746
89,2.4548629033259854
90,2.454878248666462
91,2.455419330454584
92,2.4532761867732216
93,2.4514407297460044
94,2.451987093442107
95,2.4493010633132037
96,2.449343557481642
97,2.448695054952649
98,2.4470833378869132
99,2.444465948985173
100,2.444780787906131
101,2.4460275723383975
102,2.4459032498873197
103,2.4431383867521546
104,2.4415559205744
105,2.4409156629483992
106,2.440459350744883
107,2.4402700805664064
108,2.4372363090515137
109,2.437439259886742
110,2.437689291464316
111,2.4365135615980122
112,2.435971677303314
113,2.4330434083938597
114,2.431965317481603
115,2.4342400081017437
116,2.4323182686781273
117,2.4325194260845446
118,2.432081913602525
119,2.4279662719587
120,2.429518623229785
121,2.4282932605272456
122,2.425957432160011
123,2.425714270709312
124,2.4222868235714463
125,2.4254353928239376
126,2.424283378464835
127,2.42299971841786
128,2.421604567452481
129,2.4171903228759763
130,2.4153242140640447
131,2.4160498564059916
132,2.4143672670636858
133,2.4122337118784585
134,2.41199267750055
135,2.406329549389121
136,2.407192697772732
137,2.4045800966375013
138,2.403232120487788
139,2.4012576488599384
140,2.401322384675344
141,2.3986319593481116
142,2.3940888887796645
143,2.3933750287986095
144,2.3912100006894366
145,2.389512694798983
146,2.392028677631432
147,2.3826776816521162
148,2.3815877845412805
149,2.379869272834376
150,2.373540025159537
151,2.373692340967132
152,2.3711959501592124
153,2.3669099358951344
154,2.370367562934144
155,2.3601882831159844
156,2.3587670646062713
157,2.3569367716186926
158,2.3629777090890065
159,2.359560639517648
160,2.355922486331012
161,2.354110076620772
162,2.348938763141632
163,2.350470715098911
164,2.344736150548428
165,2.3411317015268716
166,2.3410733938217163
167,2.3438346915774875
168,2.3352257652980524
169,2.335217394548304
170,2.33712119925512
171,2.33258064587911
172,2.32927956969239
173,2.3248620385473426
174,2.3273870108963606
175,2.3241167279738413
176,2.319076555746573
177,2.323549764257082
178,2.3149908125400542
179,2.30681026833398
180,2.313292980194092
181,2.305234364100865
182,2.296500478071325
183,2.3014766544103624
184,2.289265458966479
185,2.2959420680999756
186,2.2910314410924912
187,2.2901689729828765
188,2.2749630669016896
189,2.2833368087160415
190,2.268198988410864
191,2.2733382406369063
192,2.2613062456056667
193,2.257452578771682
194,2.2503635650727807
195,2.2512646419246023
196,2.2415749196256143
197,2.2396572300150424
198,2.239600680376354
199,2.227411766846975
200,2.2287168834782856
201,2.2200024610833275
202,2.2113570045022404
203,2.2057786371516084
204,2.197925969456019
205,2.2136124952419385
206,2.1940954480060313
207,2.1797177230610565
208,2.1771634364950248
209,2.1838569437585225
210,2.1818485981539677
211,2.1657413376702204
212,2.1522845692104764
213,2.1483161648114524
214,2.150178697847185
215,2.1405149894756277
216,2.1398718626726243
217,2.1297896429039964
218,2.1304892629384993
219,2.1348818468760293
220,2.129869408723785
